uid,firstName,lastName,userName,bio,email,location
c0fbea97-03bd-4194-991c-449f16933b2c,Johnny,Walker,johnywalker,,kevinm@yahoo.com,
06beb315-56e6-4460-b324-57b2b9e782ad,Fred,Quimby,fredquimby,,shang@comcast.net,
5f60ae52-faca-4af7-8b58-827a21ac0d76,wanda,Maximoff,scarletwitch,,engelen@hotmail.com,
5f20ae52-faca-4af7-8b58-827a21ac0d76,Bruce,Wayne,batman,The dark knight,rjones@msn.com,
f60fb9a3-4083-4732-9343-9b06c5387c32,Diana,Prince,wonderwoman,,eabrown@optonline.net,
56cbef42-dede-4050-872d-cdf3b9151746,Steve,Rogers,captainamerica,,lukka@comcast.net,
e05f68d0-e66d-4cc4-aca9-d85aa3c660cd,Natasha,Romanov,blackwidow,,seano@hotmail.com,
e4b1392d-0edc-4142-9ecb-3e77ac71bb52,Clark,Kent,superman,Last son of krypton,imightb@icloud.com,
1bcb5e47-7114-43b9-ab38-c98d218785f3,John,Jones,martianmanhunter,,danzigism@yahoo.com,
00450497-a070-45f5-8e35-76b73ffa4c81,Tony,Stark,ironman,,fukuchi@sbcglobal.net,
3de462e3-96ec-4445-b376-5d08d48e647c,Peter,Parker,spiderman,,garland@hotmail.com,
76094e0b-b930-4ba7-aa24-2b527d849610,Steven,Strange,drstrange,,bjoern@hotmail.com,
cd7a0061-3581-4adb-b0af-5e000319df2e,Pietro,Maximoff,quicksilver,,bryam@mac.com,
2f8ed6b8-b3c3-43c1-8c3e-7b4925dc7661,King,Tchalla,blackpanther,,hling@icloud.com,
b1a57504-3e67-4b4e-b35c-76049b6f42d8,Thor,Odinson,thor,God of thunder,parasite@icloud.com,
ca53be23-d44b-41bb-8d72-1546dcfd4e81,Ragnar,Lothbrok,ragnar,King of Kattegat,mwandel@icloud.com,
ee8c584e-1f72-4049-8eca-c84aa0876091,Bjorn,Ironside,bjornironside,Meditteranean explorer,ismail@mac.com,
3f0588e3-96af-476e-9877-bea5e9b776bf,Ivar,Lothbrok,boneless,Ivar the god,kayvonf@sbcglobal.net,
6f2f89fc-19ce-4662-9d48-d84b065898da,Ubbe,Lothbrok,ubbe,Explorer,noahb@yahoo.ca,
